Year,DISTRICT,District Name_x,Teacher Total Full Time Equiv Count,Support Total Full Time Equiv Count,School Admin Total Full Time Equiv Count,Central Admin Total Full Time Equiv Count,Educ Aide Total Full Time Equiv Count,Teacher Total Base Salary Total,Support Total Base Salary Total,School Admin Total Base Salary Total,Teacher Beginning Full Time Equiv Count,Teacher 1-5 Years Full Time Equiv Count,Teacher 6-10 Years Full Time Equiv Count,Teacher 11-20 Years Full Time Equiv Count,Teacher 21-30 Years Full Time Equiv Count,Teacher > 30 Years Full Time Equiv Count,Teacher Beginning Base Salary Total,Teacher 1-5 Years Base Salary Total,Teacher 6-10 Years Base Salary Total,Teacher 11-20 Years Base Salary Total,Teacher 21-30 Years Base Salary Total,Teacher > 30 Years Base Salary Total,Teacher No Degree Full Time Equiv Count,Teacher BA Degree Full Time Equiv Count,Teacher MS Degree Full Time Equiv Count,Teacher PH Degree Full Time Equiv Count,SSA Educational Aides Full Time Equiv Count,Professional Total Full Time Equiv Count,Counselor Total Part Time Equiv Count,Counselor Total Full Time Equiv Count,Librarian Total Part Time Equiv Count,Librarian Total Full Time Equiv Count,Auxiliary Total Full Time Equiv Count,All Staff Total Full Time Equiv Count,Contract Serv Total Full Time Equiv Count,Teacher American Indian Full Time Equiv Count,Teacher Pacific Islander Full Time Equiv Count,Teacher Asian Full Time Equiv Count,Teacher African American Full Time Equiv Count,Teacher Hispanic Full Time Equiv Count,Teacher White Full Time Equiv Count,Teacher Two or more races Full Time Equiv Count,Teacher Male Full Time Equiv Count,Teacher Female Full Time Equiv Count,Teacher Regular Program Full Time Equiv Count,Teacher Career & Technical Prgms Full Time Equiv Count,Teacher Bilingual Program Full Time Equiv Count,Teacher Compensatory Program Full Time Equiv Count,Teacher Gifted & Talented Program Full Time Equiv Count,Teacher Special Education Full Time Equiv Count,Teacher Other Full Time Equiv Count,Teacher Turnover Numerator,Teacher Turnover Denominator,Principal Experience Total,Principal Tenure Total,Assistant Principal Experience Total,Assistant Principal Tenure Total,All Staff Minority Full Time Equiv Count,Teacher Experience Total,Teacher Tenure Total,Teacher Incentive Allotment Master Head Count,Teacher Incentive Allotment Exemplary Head Count,Teacher Incentive Allotment Recognized Head Count,District Name_y,County ID,County Name,Region,Charter Flag,DFLALTED
2017,001902,,52.4,6.9,4.1,2.5,13.5,2418873.4,350003.3,246627.4,1,6,7,19.9,,,41075,207270,265736.1,922726.7,,,0,48.4,4,0,0,65.9,,,,,26.2,105.5,1.9,0,0,0,2,1,49.4,0,11.9,40.5,42.5,3.3,0,0,0.2,6.4,0,4,54.4,63.9,53.1,0,0,15.9,1054.9,534.3,,,,CAYUGA ISD,001,ANDERSON,07,N,N
2017,001903,,103,7,6,2,26.8,4628074.1,346087,384374,2,16,15,48,,,62683.1,570019.5,605498.2,2216976.2,,,0,84,19,0,0,118,,,,,34.8,179.6,0,0,0,0,2,5,96,0,21,82,82.8,4.9,0,2.6,0.7,8.8,3.2,11,100.3,69,63.9,38,8,15.5,1668.8,1052.8,,,,ELKHART ISD,001,ANDERSON,07,N,N
2017,001904,,59,5,4,3,19.9,2580639.3,276976,255987,2,14,10,16,,,60660,482843,415099,778998.4,,,0,42,17,0,0,71,,,,,30.1,121,0,0,0,0,4,1,53,1,15,44,46.3,5.8,0,1,0,3.7,2.2,15.1,58.1,57.9,18,28,19,14.9,1150.8,537.6,,,,FRANKSTON ISD,001,ANDERSON,07,N,N
2017,001906,,35.3,2,3,5,7,1548155.4,90675,209088,0.3,10,5,14,,,11600,350436.6,203323.4,648325.7,,,0,35.3,0,0,0,45.3,,,,,11.9,64.2,0,0,0,0,2,0,33.3,0,9,26.3,28.4,3,0,0.5,0.5,2.9,0,2.5,34.5,42,23,21,1,8,467.7,259.4,,,,NECHES ISD,001,ANDERSON,07,N,N
2017,001907,,263.5,28,17,8,74.2,11827846.6,1459280.2,1249717,23.1,80.3,52.5,52.7,,,755207.8,3028876.4,2303218.5,2673394.2,,,5.3,225.8,32.4,0,0,316.6,,,,,90.2,481,0,1,1,0,24.8,25.5,207.2,4,66.6,196.9,199.8,20,4.2,15.9,0.2,23.6,0,58.9,270.3,142.8,75,162,92,118.8,3112.5,1750.8,,,,PALESTINE ISD,001,ANDERSON,07,N,N
2017,001908,,122.5,12,7,3,37,5150733.1,630134,434203,4,45,21,28,,,131873.9,1551135.8,849698.3,1321428.2,,,0,107.5,15,0,0,144.5,,,,,64,245.5,0,1,0,0,8.5,5,107,1,31,91.5,95.3,8.4,0.5,3.5,1.4,13.3,0.2,28.9,130,108,25.2,16,7,52.4,1559.6,786.8,,,,WESTWOOD ISD,001,ANDERSON,07,N,N
2017,001909,,39.1,1.9,2,2,4.8,1773871,69777,146420,1,8,4,17.1,,,30856,289053.5,168330.8,812413.4,,,0,34,5.1,0,0,45,,,,,15.5,65.3,0,0,0,0,0,0,39.1,0,9,30.1,23.6,4.7,0,5.8,0,3.3,1.7,4.6,39.2,49,15,0,0,0,715.4,455.7,,,,SLOCUM ISD,001,ANDERSON,07,N,N
2017,002901,,258.1,34,13.2,6.9,55.6,14407498.6,2243852.5,1040780.9,10.9,51.4,56.1,79.1,,,488913.2,2478528.3,2990943.1,4481999.7,,,1,203.4,53.7,0,0,312.2,,,,,139.8,507.6,0,1,0,2,2,63.4,186.6,3,68.2,189.9,206.6,13.7,1,17.7,2.4,14.5,2.2,53,279.2,118.8,40.8,90.3,65.1,190.9,3806.6,2127.2,,,,ANDREWS ISD,002,ANDREWS,18,N,N
2017,003801,,66.8,11,6,4,11,3091575.2,563629.8,400971,9.8,19,16,15,,,285120.6,856038,763964.4,776222.5,,,6,39,20.8,1,0,87.8,,,,,30,128.8,0,0,1,0,7,4,54.8,0,11,55.8,60.6,2.2,0,1.5,1.3,1.3,0,12,63.5,84,15.9,14,2,34.5,669.5,231.1,,,,PINEYWOODS COMMUNITY ACADEMY,003,ANGELINA,07,Y,N
2017,003902,,190.1,33.3,14.7,4,29.7,9237789,1880510.8,1073604.5,6.4,37,39,61.3,,,257745.1,1578365,1742165.4,3079970.6,,,1.4,145.1,43.5,0,0,242.1,,,,,112.3,384.1,2,0,0,0,1,6,179.1,4,37.4,152.6,134.4,14.5,1.3,12.2,9.2,17.5,0.9,25.3,193.2,125,82,112,84,64.1,3005.6,1790.1,,,,HUDSON ISD,003,ANGELINA,07,N,N
